"","Ticker","Company","Market_capital","Market_share","Sector","Analyst_advice","News_Sentiment","News_Score","Media_Buzz","Media_Score","HedgeFund_Sentiment","HedgeFund_Score","Investor_Sentiment","Investor_Score"
"374","MRAAF","Murata Manufacturing Co",37684043300,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"375","EC","Ecopetrol SA",37642430400,"Large","Materials","Moderate Buy","StrongBuy",1,"Hold",0.4811,"Negative",0.3786,"Hold",0.46
"376","PRU","Prudential Financial",37635240000,"Large","Financial","Hold","Hold",0.5,"StrongSell",0,"Negative",0.0518,"Hold",0.52
"377","ROP","Roper Technologies",37499381500,"Large","Industrial Goods","Moderate Buy","Hold",0.5,"StrongSell",0.16665,"Neutral",0.5406,"Hold",0.53
"378","CRARY","Credit Agricole",37379292600,"Large","Financial","Moderate Buy","Hold",0.5,"ModerateSell",0.2857,"Neutral",0.5,"Hold",0.5
"379","CAOVF","China Overseas Land & Investment",37305861000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"380","MZHOF","Mizuho Financial Group",37276260000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"381","KHC","Kraft Heinz",37245380000,"Large","Consumer Goods","Moderate Sell","StrongBuy",1,"ModerateSell",0.2857,"Positive",0.7736,"Hold",0.54
"382","CTPCF","CITIC",37235584000,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"383","CUAEF","China Shenhua Energy Co",37193552000,"Large","General",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"384","SCHYF","Sands China",37120752900,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"385","DAL","Delta Airlines",37064841300,"Large","Services","Moderate Buy","StrongBuy",1,"Hold",0.41265,"Negative",0.35,"Hold",0.48
"386","ANCUF","Alimentation Couche Tard",37033466200,"Large","Consumer Goods","Strong Buy","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.52
"387","MRAAY","Murata Manufacturing Co",36980295500,"Large","Consumer Goods","Moderate Buy","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"388","KAOCF","Kao",36865184000,"Large","Consumer Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"389","PSA","Public Storage",36801582400,"Large","Financial","Hold","Hold",0.5,"ModerateSell",0.3636,"Negative",0.0246,"Hold",0.54
"390","JPSTF","Japan Post Bank Co",36775629900,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"391","BKRKF","PT Bank Rakyat Indonesia (Persero) Tbk",36714300000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"392","HTHIF","Hitachi",36688512500,"Large","Materials",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"393","BNKHF","BOC Hong Kong (Holdings)",36687616000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"394","FANUY","Fanuc",36591295200,"Large","Industrial Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"395","CTPCY","CITIC Pacific",36421055600,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"396","ALL","Allstate",36072500600,"Large","Financial","Hold","Hold",0.5,"Hold",0.5,"Negative",0.073,"Hold",0.48
"397","F","Ford Motor",35923353000,"Large","Consumer Goods","Moderate Buy","Hold",0.5,"ModerateSell",0.3854,"Positive",0.788,"ModerateBuy",0.6
"398","CKHUF","CK Hutchison Holdings",35554532800,"Large","Industrial Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"399","RBS","Royal Bank of Scotland",35388247000,"Large","Financial",NA,"Hold",0.5,"StrongSell",0,"Neutral",0.5,"Hold",0.5
"400","VFC","VF",35360574000,"Large","Consumer Goods","Strong Buy","Hold",0.5,"StrongSell",0,"Negative",0.0296,"Hold",0.4
"401","TRV","Travelers Companies",35289209400,"Large","Financial","Hold","Hold",0.5,"Hold",0.4,"Negative",0.1955,"Hold",0.58
"402","TRI","Thomson Reuters",35272036900,"Large","Services","Moderate Buy","Hold",0.5,"ModerateSell",0.2222,"Negative",0.2501,"Hold",0.46
"403","OVCHF","Oversea-Chinese Banking",35232720000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"404","STZ","Constellation Brands",35221902200,"Large","Consumer Goods","Strong Buy","Hold",0.5,"StrongSell",0,"Negative",0.0744,"ModerateSell",0.38
"405","DELL","Dell Technologies",35138230000,"Large","Consumer Goods","Moderate Buy","Hold",0.5,"ModerateBuy",0.69415,"Positive",0.967,"Hold",0.48
"406","CTSH","Cognizant",35104456300,"Large","Technology","Moderate Buy","Hold",0.5,"ModerateSell",0.3333,"Positive",0.8566,"Hold",0.58
"407","DNZOF","DENSO",35016465700,"Large","Materials",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"408","EJPRF","East Japan Railway Company",34897382500,"Large","Utilities",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"409","BBVA","Banco Bilbao",34789384700,"Large","Financial","Moderate Buy","Hold",0.5,"ModerateSell",0.3333,"Positive",0.959,"Hold",0.52
"410","CKHUY","CK Hutchison Holdings",34744722400,"Large","Industrial Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"411","DNZOY","DENSO",34729673400,"Large","Consumer Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"412","CHPXF","China Pacific Insurance (Group) Co",34616840000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"413","OXY","Occidental Petroleum",34455236700,"Large","Materials","Hold","ModerateSell",0.3333,"ModerateSell",0.2718,"Positive",0.9654,"ModerateSell",0.28
"414","WELL","Welltower",34314954100,"Large","Financial","Moderate Buy","Hold",0.5,"ModerateSell",0.2222,"Negative",0.0335,"ModerateSell",0.3
"415","AMX","America Movil",34306631700,"Large","Technology","Moderate Buy","Hold",0.5,"Hold",0.5,"Neutral",0.4103,"Hold",0.5
"416","AMADY","Amadeus IT Group, S.A.",34291805500,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"417","HOCPY","HOYA",34289747800,"Large","Healthcare",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"418","HOCPF","HOYA",34027994000,"Large","Healthcare",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"419","MTRJF","MTR",33983840800,"Large","Utilities",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"420","EJPRY","East Japan Railway",33978630500,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"421","AHCHF","Anhui Conch Cement Company",33544569000,"Large","Materials",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"422","ORLY","O'Reilly Auto",33462462500,"Large","Services","Moderate Buy","Hold",0.5,"StrongSell",0,"Negative",0.1877,"Hold",0.48
"423","BACHY","Bank of China",33448900000,"Large","Financial",NA,"Hold",0.5,"ModerateSell",0.25,"Neutral",0.5,"Hold",0.53
"424","SVNDF","Seven & I Holdings Co",33345017900,"Large","Industrial Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.53
"425","ITOCY","Itochu",33180995100,"Large",NA,NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"426","CNQ","Canadian Natural",33092146100,"Large","Materials","Moderate Buy","StrongBuy",1,"StrongSell",0.125,"Positive",0.7908,"Hold",0.41
"427","JCI","Johnson Controls",33039918600,"Large","Services","Hold","Hold",0.5,NA,NA,"Negative",0.162,"Hold",0.54
"428","TOELF","Tokyo Electron",32918127000,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"429","SVNDY","Seven & I Holdings",32836536900,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"430","ITOCF","Itochu",32711646000,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"431","CP","Canadian Pacific",32685336800,"Large","Services","Moderate Buy","Hold",0.5,"ModerateSell",0.23525,"Negative",0.0994,"Hold",0.5
"432","VIVHY","Vivendi",32681335300,"Large","Technology","Moderate Buy","StrongSell",0,"Hold",0.5952,"Neutral",0.5,"Hold",0.5
"433","HOKCF","Hong Kong & China Gas Co",32665443000,"Large","Utilities",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"434","TOELY","Tokyo Electron",32634725200,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"435","BIDU","Baidu",32534825600,"Large","Technology","Strong Buy","Hold",0.5,"StrongSell",0.1282,"Negative",0.2447,"ModerateBuy",0.79
"436","BF.B","Brown-Forman B",32386695000,"Large","Consumer Goods","Moderate Sell","Hold",0.5,NA,NA,"Negative",0.3074,"Hold",0.53
"437","CS","Credit Suisse",32381780200,"Large","Financial","Hold","Hold",0.5,"Hold",0.5,"Negative",0.3865,"Hold",0.52
"438","CHJHF","China Telecom",32372960000,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"439","CYJBF","Cargotec",32313590400,"Large","Industrial Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"440","NXPI","NXP Semiconductors",32307730700,"Large","Technology","Strong Buy","Hold",0.5,"Hold",0.4615,"Negative",0.0457,"ModerateBuy",0.7
"441","AAUKF","Anglo American",32297799800,"Large","Materials","Moderate Buy","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.54
"442","XEL","Xcel Energy",32244618100,"Large","Utilities","Hold","Hold",0.5,"StrongSell",0.19045,"Neutral",0.4846,"Hold",0.42
"443","GIS","General Mills",32226288100,"Large","Consumer Goods","Hold","Hold",0.5,"ModerateSell",0.29625,"Positive",0.7341,"ModerateSell",0.32
"444","TSN","Tyson Foods",32197968800,"Large","Consumer Goods","Strong Buy","Hold",0.5,"StrongSell",0.125,"Negative",0.0368,"Hold",0.43
"445","MNST","Monster Beverage",32164137200,"Large","Consumer Goods","Hold","Hold",0.5,NA,NA,"Positive",0.965,"Hold",0.58
"446","MCQEF","Macquarie Group",32002992000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"447","HNHAF","Hon Hai Precision Industry Co",31995114300,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.54
"448","CCL","Carnival",31983358400,"Large","Services","Hold","Hold",0.5,"StrongSell",0.14285,"Negative",0.3822,"ModerateBuy",0.6
"449","MQBKY","Macquarie Group",31796616000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"450","EQR","Equity Residential",31602225400,"Large","Financial","Hold","Hold",0.5,NA,NA,"Negative",0.1382,"Hold",0.58
"451","ALPMF","Astellas Pharma",31524389600,"Large","Healthcare",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"452","CGMBF","China Minsheng Banking",31523328000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"453","UOVEY","United Overseas Bank",31490190800,"Large","Financial",NA,"Hold",0.5,"Hold",0.5,"Neutral",0.5,"Hold",0.5
"454","NEM","Newmont Mining",31481817600,"Large","Materials","Strong Buy","StrongBuy",1,"ModerateSell",0.25,"Positive",0.9776,"Hold",0.42
"455","STI","SunTrust Banks",31455793600,"Large","Financial","Moderate Buy","Hold",0.5,NA,NA,"Negative",0.2263,"Hold",0.52
"456","BBD","Banco Bradesco SA",31455107000,"Large","Financial",NA,"StrongSell",0,"Hold",0.41665,"Positive",0.8658,"Hold",0.45
"457","IR","Ingersoll-Rand",31413562700,"Large","Industrial Goods","Moderate Buy","Hold",0.5,"StrongSell",0,"Negative",0.3819,"Hold",0.44
"458","MITSF","Mitsui & Co",31399838400,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"459","ARZGY","Assicurazioni Generali",31389200000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"460","TEAM","Atlassian",31351046000,"Large","Technology","Moderate Buy","Hold",0.5,"Hold",0.5,"Positive",0.9384,"ModerateSell",0.2
"461","GZPFY","Gazprom Neft",31327520000,"Large","Materials",NA,"Hold",0.5,NA,NA,NA,NA,"Hold",0.5
"462","BDORY","Banco do Brasil SA",31236440800,"Large","Financial","Moderate Buy","Hold",0.5,"StrongSell",0,"Neutral",0.5,"Hold",0.5
"463","HCMLY","LafargeHolcim",31102329900,"Large","Materials",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"464","TLSYY","Telstra",31062423400,"Large","Technology",NA,"Hold",0.5,"StrongSell",0,"Neutral",0.5,"Hold",0.5
"465","ET","Energy Transfer",31024870000,"Large","Materials","Strong Buy","StrongBuy",1,"Hold",0.481,"Neutral",0.5246,"ModerateBuy",0.7
"466","TEL","TE Connectivity",31009177300,"Large","Consumer Goods","Hold","Hold",0.5,NA,NA,"Negative",0.2392,"Hold",0.49
"467","SSREY","Swiss Re",30984561200,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.49
"468","CRBJF","China Resources Land",30948279600,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"469","EGRNF","China Evergrande Group",30922945000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"470","UNCFF","UniCredit SpA",30887645400,"Large","Financial","Strong Buy","StrongSell",0,"ModerateSell",0.3636,"Neutral",0.5,"Hold",0.5
"471","MITSY","Mitsui & Co",30880020600,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.49
"472","SIRI","Sirius XM Holdings",30877565600,"Large","Services","Moderate Buy","Hold",0.5,NA,NA,"Negative",0.3725,"ModerateBuy",0.72
"473","LYB","LyondellBasell",30853853900,"Large","Consumer Goods","Moderate Buy","Hold",0.5,"ModerateSell",0.2,"Negative",0.02,"Hold",0.43
"474","APH","Amphenol",30835168000,"Large","Industrial Goods","Strong Buy","StrongBuy",1,"ModerateSell",0.3333,"Negative",0.2153,"Hold",0.44
"475","PAYX","Paychex",30826137300,"Large","Technology","Moderate Buy","StrongBuy",1,"ModerateSell",0.2857,"Positive",0.9167,"Hold",0.48
"476","UOVEF","United Overseas Bank (Singapore)",30812392800,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"477","CTRYF","Country Garden Holdings Co",30710887500,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"478","ECIFY","Electricite de France SA",30700943000,"Large","Utilities",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.48
"479","SMECF","SMC (OR)",30582064300,"Large","Industrial Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"480","BF.A","Brown Forman A",30466988200,"Large","Consumer Goods",NA,"Hold",0.5,"StrongSell",0,"Neutral",0.5107,"Hold",0.49
"481","PPG","PPG Industries",30465892900,"Large","Materials","Moderate Buy","StrongBuy",1,"ModerateSell",0.3333,"Negative",7e-04,"Hold",0.52
"482","YUM","Yum! Brands",30448849500,"Large","Services","Moderate Buy","Hold",0.5,"StrongSell",0.1935,"Negative",0.1511,"Hold",0.5
"483","QSR","Restaurant Brands International",30428955700,"Large","Services","Strong Buy","Hold",0.5,"ModerateSell",0.34285,"Neutral",0.4315,"ModerateBuy",0.62
"484","KBCSY","KBC Group",30392930000,"Large","Financial","Moderate Buy","Hold",0.5,"Hold",0.5,"Neutral",0.5,"Hold",0.51
"485","TDG","Transdigm Group",30367070800,"Large","Consumer Goods","Strong Buy","Hold",0.5,"ModerateSell",0.30765,"Positive",0.6547,"ModerateSell",0.39
"486","LUV","Southwest Airlines",30334548600,"Large","Services","Hold","Hold",0.5,"StrongSell",0.0759,"Negative",0.339,"ModerateBuy",0.78
"487","CRH","CRH",30317628900,"Large","Materials",NA,"Hold",0.5,"StrongSell",0,"Negative",0.3388,"Hold",0.5
"488","WFAFF","Wesfarmers",30286000200,"Large","Industrial Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"489","ATLKY","Atlas Copco",30162213000,"Large","Industrial Goods",NA,"Hold",0.5,"Hold",0.5,"Neutral",0.5,"Hold",0.49
"490","HSY","Hershey Co",30128928600,"Large","Consumer Goods","Hold","Hold",0.5,NA,NA,"Negative",0.2486,"Hold",0.56
"491","PEG","Public Service Enterprise",29994609100,"Large","Utilities","Hold","Hold",0.5,"StrongSell",0.1538,"Positive",0.7074,"Hold",0.48
"492","AVB","AvalonBay",29944929400,"Large","Financial","Moderate Buy","StrongBuy",1,"ModerateSell",0.3333,"Negative",0.0301,"Hold",0.52
"493","ZBH","Zimmer Biomet Holdings",29881771500,"Large","Healthcare","Strong Buy","Hold",0.5,"StrongSell",0.1538,"Negative",0.1842,"Hold",0.52
"494","GOLD","Barrick Gold",29866704000,"Large","Materials","Moderate Buy","Hold",0.5,"StrongSell",0.0625,"Positive",0.8058,"ModerateBuy",0.63
"495","RACE","Ferrari",29863718200,"Large","Consumer Goods","Strong Buy","StrongBuy",1,"Hold",0.4,"Negative",0.0978,"Hold",0.54
"496","EXPGY","Experian",29862038800,"Large","Services",NA,"Hold",0.5,"StrongSell",0,NA,NA,"Hold",0.5
"497","HPQ","HP",29756752800,"Large","Consumer Goods","Hold","Hold",0.6,"ModerateSell",0.39635,"Positive",0.946,"Hold",0.44
"498","BRDCF","Bridgestone",29745521000,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"499","EXPGF","Experian",29652114900,"Large","Services","Strong Buy","Hold",0.5,NA,NA,NA,NA,"Hold",0.5
"500","HLT","Hilton Worldwide Holdings",29627115000,"Large","Services","Moderate Buy","StrongBuy",1,"ModerateSell",0.27585,"Positive",0.7983,"Hold",0.48
"501","MIELY","Mitsubishi Electric",29613105500,"Large","Consumer Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"502","EA","Electronic Arts",29492798800,"Large","Consumer Goods","Strong Buy","StrongBuy",1,"ModerateSell",0.22855,"Negative",0.1852,"ModerateBuy",0.76
"503","LULU","Lululemon Athletica",29457510200,"Large","Consumer Goods","Moderate Buy","StrongBuy",1,"Hold",0.43475,"Positive",0.6486,"Hold",0.56
"504","CAJ","Canon",29404261200,"Large","Consumer Goods","Moderate Sell","Hold",0.5,"ModerateSell",0.2,"Neutral",0.5,"Hold",0.5
"505","SCCO","Southern Copper",29400993000,"Large","Materials","Moderate Buy","Hold",0.5,"Hold",0.4,"Negative",0.322,"Hold",0.52
"506","SQ","Square",29386713600,"Large","Technology","Moderate Buy","StrongBuy",1,"ModerateSell",0.38805,"Positive",0.9819,"ModerateBuy",0.6
"507","OKE","Oneok",29349689200,"Large","Materials","Moderate Buy","Hold",0.5,"StrongSell",0.1538,"Positive",0.8625,"Hold",0.48
"508","INFO","IHS Markit",29131778200,"Large","Services","Moderate Buy","StrongBuy",1,"ModerateSell",0.3431,"Neutral",0.4443,"Hold",0.5
"509","CHUFF","China Unicom (Hong Kong)",28954982000,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"510","SSDOY","Shiseido Company",28942408000,"Large","Consumer Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"511","SCBFF","Standard Chartered",28904252000,"Large","Financial","Moderate Sell","Hold",0.5,"ModerateSell",0.37035,"Neutral",0.5,"Hold",0.5
"512","EBAY","Ebay",28896408000,"Large","Services","Moderate Buy","StrongBuy",1,"Hold",0.4533,"Negative",0.0727,"ModerateBuy",0.64
"513","TSCDY","Tesco",28891151400,"Large","Services",NA,"Hold",0.5,"StrongSell",0,"Neutral",0.5,"Hold",0.5
"514","ED","Consolidated Edison",28884842700,"Large","Utilities","Hold","StrongBuy",1,"Hold",0.5,"Negative",0.0231,"ModerateSell",0.36
"515","CHT","Chunghwa Telecom Co",28873228900,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"516","TROW","T Rowe Price",28873130100,"Large","Financial","Moderate Buy","Hold",0.5,NA,NA,"Negative",0.3815,"Hold",0.42
"517","MELI","Mercadolibre",28860631800,"Large","Technology","Strong Buy","StrongBuy",1,"ModerateSell",0.3333,"Negative",0.3369,"ModerateBuy",0.72
"518","GXYEF","Galaxy Entertainment Group",28825479000,"Large","Services","Moderate Buy","Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"519","BRDCY","Bridgestone",2.8778e+10,"Large","Consumer Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"520","MSI","Motorola Solutions",28664512800,"Large","Consumer Goods","Strong Buy","StrongBuy",1,"ModerateSell",0.2857,"Negative",0.2345,"Hold",0.52
"521","NBNKF","Nordea Bank Abp",28634655000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"522","TTRAF","Telstra",28519440000,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"523","IQV","IQVIA Holdings",28325667200,"Large","Healthcare","Moderate Buy","StrongBuy",1,"ModerateSell",0.3928,"Negative",0.0884,"Hold",0.44
"524","RSG","Republic Services",28292204200,"Large","Materials","Strong Buy","StrongBuy",1,"ModerateSell",0.30765,"Negative",0.3288,"Hold",0.54
"525","NRDBY","Nordea Bank Abp",28271680500,"Large","Financial","Moderate Sell","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"526","PCAR","Paccar",28143767400,"Large","Industrial Goods","Hold","StrongBuy",1,"ModerateSell",0.2222,"Negative",0.2646,"Hold",0.53
"527","TLKMF","PT Telekomunikasi Indonesia (Persero) Tbk",28143571000,"Large","Services",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"528","AMTD","TD Ameritrade",28073512200,"Large","Financial","Hold","ModerateBuy",0.8571,"ModerateSell",0.27,"Negative",0,"ModerateBuy",0.62
"529","AZO","AutoZone",28066299800,"Large","Services","Strong Buy","Hold",0.5,"StrongSell",0,"Negative",0.1375,"Hold",0.56
"530","CMI","Cummins",28014883400,"Large","Industrial Goods","Moderate Buy","Hold",0.5,"StrongSell",0.1111,"Negative",0.1512,"Hold",0.46
"531","TRAUF","Transurban Group",27986636800,"Large","Utilities",NA,"Hold",0.5,NA,NA,NA,NA,NA,NA
"532","WEC","WEC Energy Group",27963401400,"Large","Utilities","Hold","Hold",0.5,NA,NA,"Positive",0.6892,"Hold",0.56
"533","ERIC","Telefonaktiebolaget LM Ericsson",27547863200,"Large","Consumer Goods","Moderate Buy","Hold",0.5,"StrongSell",0,"Positive",0.7265,"ModerateSell",0.38
"534","WMB","Williams Co",27537776000,"Large","Materials","Strong Buy","Hold",0.5,NA,NA,"Negative",0.0624,"Hold",0.56
"535","TLK","PT Telekomunikasi Indonesia Tbk",27410510700,"Large","Technology",NA,"Hold",0.5,"StrongSell",0,"Neutral",0.5,"Hold",0.46
"536","STT","State Street",27308087300,"Large","Financial","Moderate Buy","Hold",0.5,"StrongSell",0.06665,"Positive",0.8781,"Hold",0.52
"537","XIACF","Xiaomi",27299694000,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"538","EONGY","EON SE",27220942800,"Large","Utilities","Moderate Buy","Hold",0.5,"StrongSell",0,"Neutral",0.5,"Hold",0.56
"539","NTR","Nutrien",27166918000,"Large","Materials","Strong Buy","Hold",0.5,"Hold",0.47055,"Neutral",0.5,"Hold",0.44
"540","IFNNF","Infineon Technologies AG",27121577200,"Large","Consumer Goods","Moderate Buy","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"541","GVDNY","Givaudan SA",27059556400,"Large","Consumer Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.51
"542","ALC","Alcon",27020223000,"Large","Healthcare","Hold","Hold",0.5,NA,NA,"Positive",0.8785,"Hold",0.4
"543","ADRNY","Royal Ahold Delhaize",26965142500,"Large","Services","Moderate Sell","Hold",0.5,"Hold",0.4444,"Neutral",0.5,"Hold",0.46
"544","CTTAF","Continental Aktiengesellschaft",26950808500,"Large","Consumer Goods","Hold","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"545","SCMWY","Swisscom AG",26926471700,"Large","Technology",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"546","SLF","Sun Life Financial",26837838500,"Large","Financial","Moderate Buy","StrongBuy",1,"ModerateSell",0.31575,"Neutral",0.5,"Hold",0.54
"547","ES","Eversource Energy",26755609000,"Large","Utilities","Moderate Buy","Hold",0.5,"StrongSell",0.1111,"Positive",0.9656,"Hold",0.48
"548","PPCCF","PICC Property & Casualty Co",26691360000,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,NA,NA
"549","FLT","Fleetcor Technologies",26634824500,"Large","Services","Moderate Buy","Hold",0.5,"ModerateSell",0.38095,"Positive",0.8248,"Hold",0.52
"550","SHLAF","Schindler Holding AG",26627144200,"Large","Industrial Goods","Hold","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"551","SBAC","SBA Communications",26626758500,"Large","Services","Moderate Buy","Hold",0.5,"Hold",0.5,"Positive",0.996,"Hold",0.54
"552","CTAS","Cintas",26605710000,"Large","Services","Moderate Buy","StrongSell",0,"StrongSell",0.15,"Negative",0.0281,"ModerateBuy",0.6
"553","DFS","Discover Financial Services",26604029200,"Large","Financial","Moderate Buy","StrongBuy",1,"StrongSell",0.125,"Negative",0.1424,"Hold",0.55
"554","ANPDF","ANTA Sports Products",26575694000,"Large","Consumer Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"555","CLPHF","CLP Holdings",26552989500,"Large","Utilities",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"556","IFNNY","Infineon",26536577600,"Large","Consumer Goods","Moderate Sell","StrongBuy",1,"StrongSell",0.14285,"Neutral",0.5,"Hold",0.5
"557","HLDCY","Henderson Land",26467884100,"Large","Financial",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"558","DNHBY","DNB ASA",26375207000,"Large","Financial","Hold","Hold",0.5,"Hold",0.5,"Neutral",0.5,"Hold",0.5
"559","ASBFY","Associated British Foods",26240615800,"Large","Consumer Goods",NA,"Hold",0.5,"StrongSell",0,"Neutral",0.5,"Hold",0.5
"560","MCK","McKesson",26062392300,"Large","Services","Moderate Buy","ModerateSell",0.3333,"StrongBuy",0.92375,"Negative",0.0938,"ModerateBuy",0.6
"561","CTTAY","Continental AG",26060781800,"Large","Industrial Goods",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.51
"562","CHU","China Unicom",26038983100,"Large","Technology","Moderate Buy","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.48
"563","TRUMF","Terumo",26008012000,"Large","Healthcare",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"564","TELNY","Telenor ASA",25995510900,"Large","Technology","Hold","Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.5
"565","KLAC","Kla-Tencor",25856124800,"Large","Consumer Goods","Moderate Buy","StrongBuy",1,"ModerateSell",0.3125,"Negative",0.3,"ModerateBuy",0.73
"566","CLPHY","CLP Holdings",25820319000,"Large","Utilities",NA,"Hold",0.5,NA,NA,"Neutral",0.5,"Hold",0.51
